target,guess_count,memory,strategy
quasi,4,True,Strategy.RANDOM
swift,4,True,Strategy.RANDOM
flute,4,True,Strategy.RANDOM
mover,4,True,Strategy.RANDOM
wooly,3,True,Strategy.RANDOM
comic,4,True,Strategy.RANDOM
swear,3,True,Strategy.RANDOM
bused,2,True,Strategy.RANDOM
axial,2,True,Strategy.RANDOM
ovate,2,True,Strategy.RANDOM
fable,3,True,Strategy.RANDOM
rumor,4,True,Strategy.RANDOM
sworn,2,True,Strategy.RANDOM
kinky,4,True,Strategy.RANDOM
poesy,2,True,Strategy.RANDOM
peril,2,True,Strategy.RANDOM
myrrh,3,True,Strategy.RANDOM
taint,3,True,Strategy.RANDOM
wield,3,True,Strategy.RANDOM
girly,4,True,Strategy.RANDOM
erase,5,True,Strategy.RANDOM
claim,3,True,Strategy.RANDOM
dowdy,2,True,Strategy.RANDOM
butte,3,True,Strategy.RANDOM
chili,3,True,Strategy.RANDOM
waver,3,True,Strategy.RANDOM
ruler,2,True,Strategy.RANDOM
buyer,4,True,Strategy.RANDOM
sooth,2,True,Strategy.RANDOM
spree,4,True,Strategy.RANDOM
tense,4,True,Strategy.RANDOM
lumen,3,True,Strategy.RANDOM
horny,2,True,Strategy.RANDOM
icily,3,True,Strategy.RANDOM
hovel,2,True,Strategy.RANDOM
posit,3,True,Strategy.RANDOM
scamp,2,True,Strategy.RANDOM
sully,4,True,Strategy.RANDOM
wrest,2,True,Strategy.RANDOM
flush,3,True,Strategy.RANDOM
etude,3,True,Strategy.RANDOM
clang,2,True,Strategy.RANDOM
shone,3,True,Strategy.RANDOM
fiery,4,True,Strategy.RANDOM
tepee,3,True,Strategy.RANDOM
moody,3,True,Strategy.RANDOM
plied,4,True,Strategy.RANDOM
slyly,3,True,Strategy.RANDOM
belle,3,True,Strategy.RANDOM
warty,4,True,Strategy.RANDOM
cried,2,True,Strategy.RANDOM
fanny,3,True,Strategy.RANDOM
pesto,3,True,Strategy.RANDOM
rugby,2,True,Strategy.RANDOM
golly,3,True,Strategy.RANDOM
junta,4,True,Strategy.RANDOM
leper,2,True,Strategy.RANDOM
dirty,2,True,Strategy.RANDOM
spiky,1,True,Strategy.RANDOM
ninny,2,True,Strategy.RANDOM
felon,4,True,Strategy.RANDOM
rarer,3,True,Strategy.RANDOM
trump,3,True,Strategy.RANDOM
rajah,3,True,Strategy.RANDOM
vogue,3,True,Strategy.RANDOM
dully,3,True,Strategy.RANDOM
tulle,2,True,Strategy.RANDOM
fence,3,True,Strategy.RANDOM
couch,2,True,Strategy.RANDOM
grave,2,True,Strategy.RANDOM
bushy,2,True,Strategy.RANDOM
trunk,4,True,Strategy.RANDOM
clank,2,True,Strategy.RANDOM
dumpy,3,True,Strategy.RANDOM
dough,2,True,Strategy.RANDOM
clued,2,True,Strategy.RANDOM
nosey,3,True,Strategy.RANDOM
weigh,2,True,Strategy.RANDOM
slurp,2,True,Strategy.RANDOM
latch,1,True,Strategy.RANDOM
octal,3,True,Strategy.RANDOM
gayly,2,True,Strategy.RANDOM
bible,1,True,Strategy.RANDOM
vicar,3,True,Strategy.RANDOM
singe,3,True,Strategy.RANDOM
utile,2,True,Strategy.RANDOM
shalt,2,True,Strategy.RANDOM
furor,3,True,Strategy.RANDOM
segue,2,True,Strategy.RANDOM
drown,2,True,Strategy.RANDOM
ficus,3,True,Strategy.RANDOM
spunk,3,True,Strategy.RANDOM
oaken,2,True,Strategy.RANDOM
fight,1,True,Strategy.RANDOM
gavel,3,True,Strategy.RANDOM
sloop,3,True,Strategy.RANDOM
diver,3,True,Strategy.RANDOM
smoky,2,True,Strategy.RANDOM
riser,2,True,Strategy.RANDOM
valor,2,True,Strategy.RANDOM
slink,3,True,Strategy.RANDOM
payee,2,True,Strategy.RANDOM
lobby,2,True,Strategy.RANDOM
waxen,2,True,Strategy.RANDOM
parse,2,True,Strategy.RANDOM
mucus,1,True,Strategy.RANDOM
basal,1,True,Strategy.RANDOM
tatty,2,True,Strategy.RANDOM
brunt,1,True,Strategy.RANDOM
